Disaster_Number,Incident_Type,Application_Title,DCC,Damage_Category,Project_Size,County,State_Code,Project_Amount,Federal_Share_Obligated,Total_Obligated,declaration_date,obligated_date
1909,Severe Storm(s),NACT210 - Roads,C,Roads and Bridges,Small,Davidson,TN,5919.62,5327.66,5327.66,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAEHR14 - Lentz Public Health Building,E,Public Buildings,Small,Davidson,TN,6089.83,5480.85,5480.85,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NAGCC72 - Shelby Bottoms Nature Center WI-FI System,G,Recreational or Other,Small,Davidson,TN,2680.3,2412.27,2412.27,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NDAAB08 - Roadways and Stream bank (Debris Removal),A,Debris Removal,Small,Davidson,TN,13874.75,12487.28,12487.28,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NAESC12 - Metropolitan Nashville Public Schools - Main ,E,Public Buildings,Small,Davidson,TN,657.37,591.63,591.63,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NAEJM05 - Correctional Development Center,E,Public Buildings,Small,Davidson,TN,763.01,686.71,686.71,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACM100  - Roads,C,Roads and Bridges,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NACB157  - Roads,C,Roads and Bridges,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NACR177  - Roads,C,Roads and Bridges,Small,Davidson,TN,3839.82,3455.84,3455.84,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NDFJT26 - Kerrigan Regulator Trash Trap,F,Public Utilities,Small,Davidson,TN,31111.51,28000.36,28000.36,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACM232  - Roads,C,Roads and Bridges,Small,Davidson,TN,42668.13,38401.32,38401.32,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAESC11 - Metropolitan Nashville Public Schools - Stadi,E,Public Buildings,Small,Davidson,TN,120.72,108.65,108.65,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),"NAEMM17 - CARS, RENTAL",E,Public Buildings,Large,Davidson,TN,113633.36,102270.02,102270.02,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAECC52 - Metropolitan Nashville Public Schools - Main ,E,Public Buildings,Small,Davidson,TN,2717.93,2446.14,2446.14,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NAEFB70 -  Metropolitan Nashville Public Schools - Gymn,E,Public Buildings,Small,Davidson,TN,416.8,375.12,375.12,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
